name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.resumes\` has a foreign key \`resumes_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""resumes"",""type"":""table"",""schema"":""public"",""fkey_name"":""resumes_user_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_resumes_resumes_user_id_fkey
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_scrape_configs_user_id\` on table \`public.scrape_configs\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""scrape_configs"",""type"":""table"",""schema"":""public""}",unused_index_public_scrape_configs_idx_scrape_configs_user_id
